customerEmail,orderAmount,orderId,orderShippingAddress,orderState
qramsey@hotmail.com,30,pe8fke,"87265 Woods Square
Port Heidimouth, LA 03208-8304",failed
9es7t@u6n7x,16,3b9vdf,"63978 Luis Ports
Yvonneville, NE 63736-2980",fulfilled
ypruitt@hotmail.com,30,wc0qut,"437 Jean Well
Andrewville, FM 13796",fulfilled
ypruitt@hotmail.com,38,8o9ef7,"437 Jean Well
Andrewville, FM 13796",fulfilled
ypruitt@hotmail.com,49,5pwn81,"437 Jean Well
Andrewville, FM 13796",fulfilled
ypruitt@hotmail.com,29,l72b2v,"5664 Kristy Points
Meyerfort, SD 37067",fulfilled
aweaver@yahoo.com,20,lly25f,"85993 Heather Drive
East Erinhaven, KY 61109",fulfilled
richard05@hanson-key.org,40,pkajko,"432 Margaret Isle
West Kevinbury, SC 42235",fulfilled
paul86@hotmail.com,44,4w6x1p,"178 Palmer Motorway
East Anthony, HI 06543-3483",fulfilled
mark02@young.com,10,gkwd8g,"229 Michelle Union Suite 692
Lake Sarahport, AS 45607",fulfilled
mark02@young.com,34,pypyvi,"229 Michelle Union Suite 692
Lake Sarahport, AS 45607",fulfilled
mark02@young.com,39,fq1ooh,"229 Michelle Union Suite 692
Lake Sarahport, AS 45607",fulfilled
mark02@young.com,49,qb4l0y,"229 Michelle Union Suite 692
Lake Sarahport, AS 45607",fulfilled
brandon58@conner.com,29,aj6j5x,"USS Barr
FPO AE 16052-3851",fulfilled
brandon58@conner.com,25,gf3kf8,"USS Barr
FPO AE 16052-3851",fulfilled
brandon58@conner.com,14,v1sq5r,"USS Barr
FPO AE 16052-3851",fulfilled
johnlowery@gmail.com,32,kr2w5f,"77711 Pamela Ridge
New Kayla, IL 27182",failed
johnlowery@gmail.com,21,4x7vmr,"77711 Pamela Ridge
New Kayla, IL 27182",fulfilled
jamescampbell@randall-pacheco.biz,10,typkze,"29408 Lisa Lock
Port Jennifer, LA 26501-7040",fulfilled
jamescampbell@randall-pacheco.biz,11,gar4v9,"306 Dominique Burg
Lake Joshua, MH 57647-0315",fulfilled
jamescampbell@randall-pacheco.biz,47,ougwoy,"95641 Steven Expressway
Gordonborough, GU 44582-9207",fulfilled
briana34@gmail.com,50,brzg7e,"4264 Traci Mountains Suite 245
East Trevor, NC 37274-0975",fulfilled
briana34@gmail.com,39,tex5rp,"4264 Traci Mountains Suite 245
East Trevor, NC 37274-0975",fulfilled
briana34@gmail.com,18,o2xkjm,"2282 Diaz Trafficway
West Alan, PW 51681",fulfilled
briana34@gmail.com,29,z11a6h,"4264 Traci Mountains Suite 245
East Trevor, NC 37274-0975",fulfilled
briana34@gmail.com,41,8id3sg,"4264 Traci Mountains Suite 245
East Trevor, NC 37274-0975",pending
jonesandrea@gray.biz,45,sqfq9g,"33328 Mendez Shore Apt. 328
North Miguelville, MT 05102-0874",fulfilled
jonesandrea@gray.biz,22,lco8r4,"214 Rachel Branch
East Gabriela, NJ 89474-5585",fulfilled
jonesandrea@gray.biz,29,d1mfum,"369 Moreno Lock
Raytown, MS 71921-2845",fulfilled
kristina41@gmail.com,51,d6sbjc,"5769 Ronald Brook Suite 963
Lake Jasonfurt, MS 45350-9530",fulfilled
kristina41@gmail.com,36,izroq8,"298 Stephanie Passage
Ortizhaven, WY 41473",fulfilled
kristina41@gmail.com,60,9spaf7,"USCGC Smith
FPO AE 33964-3887",fulfilled
kristina41@gmail.com,52,8f7mcp,"2079 Woods Unions
Brandibury, AR 18360-1093",fulfilled
kristina41@gmail.com,68,xwtnot,"USS Medina
FPO AA 42900",fulfilled
kristina41@gmail.com,51,iaousp,"5769 Ronald Brook Suite 963
Lake Jasonfurt, MS 45350-9530",fulfilled
nolanalec@yahoo.com,31,48pqsb,"6790 Cassandra Loop
Davidton, ME 00036",fulfilled
nolanalec@yahoo.com,36,tprxxg,"6790 Cassandra Loop
Davidton, ME 00036",fulfilled
nolanalec@yahoo.com,42,3j539y,"32795 Gregory Tunnel Apt. 420
Patrickton, OR 99089-6477",fulfilled
nolanalec@yahoo.com,35,q4rqn8,"6790 Cassandra Loop
Davidton, ME 00036",fulfilled
spencer77@reid.com,17,phfc5z,"966 Jones Forks Suite 546
North Jesusshire, MI 55779-7683",fulfilled
spencer77@reid.com,33,7g535w,"363 Michael Villages
Kristineburgh, NM 59002",failed
uguzman@yahoo.com,353,32rax6,"9596 Christian Bridge
West Nicholasbury, OR 90106-9840",fulfilled
ssmith@levine-harmon.biz,17,9ekv8b,"58408 Stacy Grove
Port Gregory, MD 11557-3871",fulfilled
ssmith@levine-harmon.biz,24,l4l6tx,"37549 Crawford Forest
Christopherside, KY 96656",fulfilled
ssmith@levine-harmon.biz,35,y4a3bt,"37549 Crawford Forest
Christopherside, KY 96656",pending
ssmith@levine-harmon.biz,32,xtmpum,"37549 Crawford Forest
Christopherside, KY 96656",fulfilled
ssmith@levine-harmon.biz,36,y50p63,"37549 Crawford Forest
Christopherside, KY 96656",fulfilled
feliciabrown@gmail.com,41,jp7kqk,"1089 Christopher Neck Suite 097
Scottmouth, GA 02587-6233",fulfilled
dianacook@gmail.com,19,23cqz5,"226 Steven Course
New Jaime, VI 82101-3297",failed
dianacook@gmail.com,20,gxeyl2,"938 Miranda Mountain
Alexandratown, AS 69640",fulfilled
cookbenjamin@hotmail.com,37,zllwa6,"585 Veronica Loop Suite 856
East Rebeccachester, AZ 55756",fulfilled
cookbenjamin@hotmail.com,14,znlrfn,"5936 Logan Forge Apt. 622
North Kevinshire, NV 15030-8421",fulfilled
cookbenjamin@hotmail.com,49,rl4qc1,"585 Veronica Loop Suite 856
East Rebeccachester, AZ 55756",fulfilled
cookbenjamin@hotmail.com,43,6s4aem,"585 Veronica Loop Suite 856
East Rebeccachester, AZ 55756",fulfilled
joserowland@jones.com,31,u5a84z,"702 Richard Dale Suite 484
New Paula, CT 56858-8909",fulfilled
joserowland@jones.com,46,809d5o,"1292 Tricia Key Suite 062
Marthabury, KS 40445",fulfilled
joserowland@jones.com,16,734b9q,"1292 Tricia Key Suite 062
Marthabury, KS 40445",fulfilled
joserowland@jones.com,15,02x0ec,"15587 Rios Center
East Dawn, AR 22196",fulfilled
pattersonphilip@yahoo.com,18,wg4ai4,"PSC 6562, Box 6787
APO AE 05203",failed
pattersonphilip@yahoo.com,16,dkwhx7,"258 Teresa Crescent Apt. 167
Rodriguezmouth, AS 13930",fulfilled
pattersonphilip@yahoo.com,39,5ref00,"PSC 0481, Box 8369
APO AP 33323-5409",pending
pattersonphilip@yahoo.com,37,4clclj,"968 Lisa Fall
Lake Arianashire, DC 66544-2874",fulfilled
hj8maoy@1jcfcxs7,12,qfteet,"872 Ashley Island Apt. 254
East Anthonytown, LA 10352",failed
hj8maoy@1jcfcxs7,48,8a35qi,"872 Ashley Island Apt. 254
East Anthonytown, LA 10352",failed
hj8maoy@1jcfcxs7,41,sw4bii,"872 Ashley Island Apt. 254
East Anthonytown, LA 10352",fulfilled
hj8maoy@1jcfcxs7,29,5xh1fc,"872 Ashley Island Apt. 254
East Anthonytown, LA 10352",fulfilled
hj8maoy@1jcfcxs7,22,m6pkzg,"872 Ashley Island Apt. 254
East Anthonytown, LA 10352",fulfilled
finleybrianna@yahoo.com,44,np9ggp,"445 Nicole Hollow
Carterton, FM 48532",fulfilled
finleybrianna@yahoo.com,43,8zs126,"445 Nicole Hollow
Carterton, FM 48532",failed
finleybrianna@yahoo.com,41,9416gf,"445 Nicole Hollow
Carterton, FM 48532",fulfilled
finleybrianna@yahoo.com,16,6avmqe,"445 Nicole Hollow
Carterton, FM 48532",fulfilled
suzanne21@gmail.com,37,l4hhqu,"398 Latasha Canyon
Kathyland, LA 36717-2161",failed
suzanne21@gmail.com,31,z2x7az,"94922 Robert Park
Kellyhaven, OK 36922-3583",fulfilled
suzanne21@gmail.com,24,910715,"398 Latasha Canyon
Kathyland, LA 36717-2161",fulfilled
johnlowery@gmail.com,11,3ougge,"11704 Andrew Villages Apt. 035
Jamesfurt, OR 49817-0470",fulfilled
johnlowery@gmail.com,42,6p7c0x,"5015 Harrison Fields Suite 162
Sheppardfort, FL 39092",fulfilled
johnlowery@gmail.com,37,dd8z28,"11704 Andrew Villages Apt. 035
Jamesfurt, OR 49817-0470",fulfilled
johnlowery@gmail.com,30,0b6r24,"11704 Andrew Villages Apt. 035
Jamesfurt, OR 49817-0470",fulfilled
johnlowery@gmail.com,12,9eubwc,"62515 Holly Court
Lopezton, AR 45419-4146",fulfilled
kristaavery@lewis-baird.com,16,g54w0y,"1018 Johnny Vista Suite 429
North Daniel, CO 58465-5970",fulfilled
cathy42@gibson.com,14,d5r0n3,"0378 Sanders View Suite 401
West Joanna, NC 12504",fulfilled
cathy42@gibson.com,23,8lc2cq,"046 Carson Crescent
South Jacksonview, NV 22839-2652",fulfilled
cathy42@gibson.com,50,ssqc0h,"913 Rivas Island
Hallburgh, GU 81505-6573",fulfilled
michelleherrera@day.info,34,12l1rw,"586 Johnson Courts
South Timothymouth, OH 66490",fulfilled
michelleherrera@day.info,43,pcmaex,"586 Johnson Courts
South Timothymouth, OH 66490",fulfilled
michelleherrera@day.info,15,hxwtsb,"48551 Thomas Circle
Lake Johnberg, GU 50483",failed
michelleherrera@day.info,48,nm269f,"586 Johnson Courts
South Timothymouth, OH 66490",fulfilled
ijuarez@yahoo.com,45,ghy2in,"Unit 0375 Box 6645
DPO AP 74311",fulfilled
ijuarez@yahoo.com,13,gltavp,"2265 Chang Isle
New Timothy, SC 18655",fulfilled
ijuarez@yahoo.com,14,7syvmx,"9390 Samantha Drive
North Melanie, ND 85266",fulfilled
hughesjonathan@pena.org,49,yqgi4r,"272 Grant Rest
Martinezland, IL 82134-6960",pending
hughesjonathan@pena.org,25,owcp3q,"7444 Shelby Fords Apt. 290
Rhondaland, AS 85277-9573",fulfilled
hughesjonathan@pena.org,41,kkj4g4,"7444 Shelby Fords Apt. 290
Rhondaland, AS 85277-9573",fulfilled
hughesjonathan@pena.org,25,ieo8qr,"894 Jacob Vista Apt. 197
Williamfort, GA 28640-1599",fulfilled
hughesjonathan@pena.org,45,7wo3i5,"7444 Shelby Fords Apt. 290
Rhondaland, AS 85277-9573",failed
anthony04@gmail.com,15,czmdey,"412 Joshua Knoll Apt. 533
Davidland, ME 61496",fulfilled
anthony04@gmail.com,34,4v3wor,"412 Joshua Knoll Apt. 533
Davidland, ME 61496",fulfilled
mgould@yahoo.com,22,i1ews1,"19170 Hansen Throughway
Wilkersonville, PA 09423",fulfilled
mgould@yahoo.com,21,umxpkn,"19170 Hansen Throughway
Wilkersonville, PA 09423",fulfilled
mgould@yahoo.com,35,2bwa43,"840 Carroll Fort Apt. 640
Lake Stephanieland, TX 40398-4112",fulfilled
mgould@yahoo.com,20,9wsbkr,"19170 Hansen Throughway
Wilkersonville, PA 09423",fulfilled
bakersydney@gmail.com,41,r55imo,"8649 Mcgee Locks Apt. 114
North Angelafort, IN 05272-4651",fulfilled
bakersydney@gmail.com,34,87w5rm,"3598 Douglas Street
Port Alexandra, MA 84502-8273",fulfilled
bakersydney@gmail.com,32,knov7s,"8649 Mcgee Locks Apt. 114
North Angelafort, IN 05272-4651",fulfilled
udavis@clark.com,13,y439xr,"06698 Nelson Fork Suite 415
Jacquelinechester, DE 26287",fulfilled
udavis@clark.com,10,ikr37t,"9923 Williams Ramp
East Lauraburgh, GA 48874",fulfilled
udavis@clark.com,18,3629iw,"9923 Williams Ramp
East Lauraburgh, GA 48874",fulfilled
nancymayo@brown.com,46,ab2hxc,"6927 Nathan Mountains
North April, PA 95355-9109",fulfilled
nancymayo@brown.com,72,r8occu,"6927 Nathan Mountains
North April, PA 95355-9109",fulfilled
nancymayo@brown.com,50,ky361o,"6927 Nathan Mountains
North April, PA 95355-9109",fulfilled
nancymayo@brown.com,42,92e8bp,"6927 Nathan Mountains
North April, PA 95355-9109",failed
nancymayo@brown.com,56,fu7lla,"6927 Nathan Mountains
North April, PA 95355-9109",fulfilled
nancymayo@brown.com,30,c5b579,"17620 Wells Prairie Suite 370
North Brandon, GA 60136-0328",pending
johnlowery@gmail.com,40,np906j,"814 Wagner Union
Ashleymouth, HI 35617",fulfilled
johnlowery@gmail.com,34,p1yimo,"814 Wagner Union
Ashleymouth, HI 35617",fulfilled
warrenedward@arnold.com,47,03euof,"49680 Brian Squares Apt. 122
Port Walterburgh, MH 02766-0708",fulfilled
warrenedward@arnold.com,31,e32v3f,"51899 Bryan Pine Apt. 256
Willieville, OK 17656-9361",fulfilled
warrenedward@arnold.com,28,v3f3bo,"49680 Brian Squares Apt. 122
Port Walterburgh, MH 02766-0708",fulfilled
warrenedward@arnold.com,11,mfgt1j,"04246 Martinez Mews
Mirandafurt, RI 25874",fulfilled
rbolton@hotmail.com,27,j5ssnn,"150 Kenneth Bypass Apt. 791
Kevinton, VT 92488",fulfilled
rbolton@hotmail.com,19,pgpgct,"150 Kenneth Bypass Apt. 791
Kevinton, VT 92488",fulfilled
rbolton@hotmail.com,17,ywwu92,"150 Kenneth Bypass Apt. 791
Kevinton, VT 92488",fulfilled
rbolton@hotmail.com,27,h7m36s,"150 Kenneth Bypass Apt. 791
Kevinton, VT 92488",fulfilled
jonathan99@stafford.org,46,dyyrat,"4913 Wright Ranch
Roymouth, VI 48629",fulfilled
jonathan99@stafford.org,46,kwmuvx,"4913 Wright Ranch
Roymouth, VI 48629",pending
lleonard@turner-fleming.com,59,vliicw,"202 Glenn Spur
West Alyssaview, GA 19716-9957",fulfilled
lleonard@turner-fleming.com,71,a6e85x,"96103 Riley Walks
Michellefort, ID 98085-6066",fulfilled
lleonard@turner-fleming.com,75,s2yu52,"96103 Riley Walks
Michellefort, ID 98085-6066",fulfilled
lleonard@turner-fleming.com,56,2dt9hc,"96103 Riley Walks
Michellefort, ID 98085-6066",fulfilled
lleonard@turner-fleming.com,48,c8czvd,"96103 Riley Walks
Michellefort, ID 98085-6066",pending
lleonard@turner-fleming.com,55,aexkeb,"6721 Smith Road Apt. 172
Lake Tanya, WI 12305",fulfilled
lleonard@turner-fleming.com,67,014gsw,"96103 Riley Walks
Michellefort, ID 98085-6066",pending
lleonard@turner-fleming.com,40,8lwtag,"96103 Riley Walks
Michellefort, ID 98085-6066",failed
whitedavid@jones-lloyd.org,70,gdsjvg,"881 Jessica Ford
Ericksonhaven, FL 83492-3227",fulfilled
whitedavid@jones-lloyd.org,52,3oa84g,"881 Jessica Ford
Ericksonhaven, FL 83492-3227",fulfilled
whitedavid@jones-lloyd.org,73,a8rmch,"881 Jessica Ford
Ericksonhaven, FL 83492-3227",fulfilled
whitedavid@jones-lloyd.org,43,znuuw1,"881 Jessica Ford
Ericksonhaven, FL 83492-3227",failed
whitedavid@jones-lloyd.org,45,0ssrq7,"9593 Gomez Tunnel Suite 588
Christianberg, WV 17842-4677",fulfilled
tayloreric@gmail.com,15,zwxx7h,"3195 Farmer Mills Apt. 946
Brittanymouth, IA 14170",failed
tayloreric@gmail.com,16,hnm11l,"3195 Farmer Mills Apt. 946
Brittanymouth, IA 14170",fulfilled
tayloreric@gmail.com,39,oe5ua5,"3195 Farmer Mills Apt. 946
Brittanymouth, IA 14170",fulfilled
shelby24@hotmail.com,40,38153h,"3271 Cynthia Groves
Port Jeremyberg, CO 27305",fulfilled
shelby24@hotmail.com,33,ocwyyj,"29331 Lowe Trace Apt. 964
Rosalesview, MT 96654-1454",failed
shelby24@hotmail.com,50,99fepx,"3271 Cynthia Groves
Port Jeremyberg, CO 27305",fulfilled
shelby24@hotmail.com,36,zjigls,"3271 Cynthia Groves
Port Jeremyberg, CO 27305",fulfilled
cindydelgado@gmail.com,35,297izj,"7835 Jasmine Mission Suite 502
Port Alejandra, WA 47942-2517",failed
cindydelgado@gmail.com,46,4ryti3,"7835 Jasmine Mission Suite 502
Port Alejandra, WA 47942-2517",fulfilled
cindydelgado@gmail.com,49,1nblrq,"7835 Jasmine Mission Suite 502
Port Alejandra, WA 47942-2517",fulfilled
cindydelgado@gmail.com,16,lgnbul,"7835 Jasmine Mission Suite 502
Port Alejandra, WA 47942-2517",fulfilled
brittanydean@hotmail.com,36,4x5z1z,"97017 Zoe Fields Suite 624
East Marcusville, VI 71667-6156",fulfilled
brittanydean@hotmail.com,15,cilumk,"97017 Zoe Fields Suite 624
East Marcusville, VI 71667-6156",fulfilled
brittanydean@hotmail.com,43,znrz7h,"97017 Zoe Fields Suite 624
East Marcusville, VI 71667-6156",fulfilled
brittanydean@hotmail.com,36,ysg7hn,"97017 Zoe Fields Suite 624
East Marcusville, VI 71667-6156",fulfilled
watkinscaroline@lewis-haas.com,11,z4z8pu,"000 Harmon Passage Suite 981
East Erika, HI 63934",fulfilled
watkinscaroline@lewis-haas.com,27,kcyceh,"991 Melton Viaduct
Wagnerville, NH 56051",fulfilled
marissacollins@mckinney.com,31,r7iurq,"95667 Alex Burg
Greenton, NH 20710-0614",fulfilled
marissacollins@mckinney.com,33,komvqe,"95667 Alex Burg
Greenton, NH 20710-0614",fulfilled
